Independent Variable,Dependent Variable,Dependent Variable Slug,Cpus Per Node,Num Simels Per Cpu,Slope Estimate,Slope Estimate 95% CI Lower Bound,Slope Estimate 95% CI Upper Bound,Absolute Effect Size,Absolute Effect Size 95% CI Lower Bound,Absolute Effect Size 95% CI Upper Bound,Absolute Effect Size 95% CI Width,Relative Effect Size,Relative Effect Size 95% CI Lower Bound,Relative Effect Size 95% CI Upper Bound,Relative Effect Size 95% CI Width,Intercept Estimate,Intercept Estimate 95% CI Lower Bound,Intercept Estimate 95% CI Upper Bound,R^2,p,Significant?,Significant Effect Sign,n,Filter,Num Processes,Num Processes Prettyprint,Regression Model,Regression Model Slug,Statistic
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,4,2048,0.0,,,0.0,,,,,,,,0.0,,,,,,,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Delivery Clumpiness,delivery-clumpiness,4,2048,0.0299886661901757,-0.13571950288644796,0.19569683526679937,0.0299886661901757,-0.13571950288644796,0.19569683526679937,0.33141633815324734,0.09137488703493903,-0.4135347056132144,0.5962844796830925,1.009819185296307,0.2552778129529658,-0.16719678088875228,0.6777524067946838,,0.7082390645117989,False,0,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Simstep Period Inlet (ns),simstep-period-inlet-ns,4,2048,365236.6975283954,316012.94493038225,414460.45012640854,365236.6975283954,316012.94493038225,414460.45012640854,98447.5051960263,0.23196968277524996,0.200706618706282,0.26323274684421794,0.06252612813793593,843776.291380758,718279.8538659918,969272.7288955243,,6.757336876799151e-12,True,+,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Simstep Period Outlet (ns),simstep-period-outlet-ns,4,2048,368138.5062519738,318594.18871372356,417682.82379022404,368138.5062519738,318594.18871372356,417682.82379022404,99088.63507650048,0.23925021927541515,0.20705177050253945,0.2714486680482909,0.06439689754575142,799431.0842966918,673117.363339104,925744.8052542796,,6.59757845520519e-12,True,+,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,1,1,25625.862826691708,-993.1532613105264,52244.87891469394,25625.862826691708,-993.1532613105264,52244.87891469394,53238.03217600446,0.04560204061770046,-0.0017673479198800192,0.09297142915528092,0.09473877707516094,422096.3339537872,327983.9000320863,516208.76787548815,0.18517581920436543,0.058236637379962035,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,1,1,25767.607576929266,-1469.8768760408639,53005.092029899395,25767.607576929266,-1469.8768760408639,53005.092029899395,54474.96890594026,0.045410588076824264,-0.002590383028081466,0.09341155918173,0.09600194220981147,424860.8047987822,328561.7550029905,521159.85459457396,0.17996700910680197,0.06229374714103404,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Simsteps Inlet,latency-simsteps-inlet,1,1,-0.09012030728501808,-0.5314858200668527,0.3512452054968166,-0.09012030728501808,-0.5314858200668527,0.3512452054968166,0.8827310255636693,-0.011053339393091036,-0.06518722948019583,0.04308055069401376,0.10826778017420959,6.45872693646211,4.898264201112544,8.019189671811676,0.010119952558080625,0.6730300290999351,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,1,1,-0.09926647477367823,-0.5550984310081368,0.35656548146078043,-0.09926647477367823,-0.5550984310081368,0.35656548146078043,0.9116639124689172,-0.011899194274840428,-0.06654033083459901,0.042741942284918163,0.10928227311951717,6.607059998121835,4.995450661447259,8.218669334796413,0.01149533819525983,0.6527732578467563,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Delivery Clumpiness,delivery-clumpiness,1,1,-0.016500923519334965,-0.032799670789378454,-0.0002021762492914747,-0.016500923519334965,-0.032799670789378454,-0.0002021762492914747,0.03259749454008698,-0.020526712257367186,-0.04080192261003086,-0.000251501904703519,0.040550420705327335,0.7984974726655312,0.7408726990680637,0.8561222462629986,0.20085439386641235,0.04750534166393491,True,-,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Simstep Period Inlet (ns),simstep-period-inlet-ns,1,1,5615.249271461173,3687.547844499387,7542.950698422958,5615.249271461173,3687.547844499387,7542.950698422958,3855.4028539235715,0.07966987261604738,0.05231939898554114,0.10702034624655364,0.0547009472610125,65610.45996943497,58795.00621389666,72425.91372497329,0.6753966536596048,8.825651820609257e-06,True,+,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Simstep Period Outlet (ns),simstep-period-outlet-ns,1,1,5607.888651302128,3716.6005903514333,7499.176712252823,5607.888651302128,3716.6005903514333,7499.176712252823,3782.5761219013893,0.08062046545535298,0.0534308165045678,0.10781011440613815,0.054379297901570346,64586.35186818533,57899.63880280837,71273.0649335623,0.6831342548705965,7.068128691688296e-06,True,+,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,1,2048,10637417.195277542,6505949.1055437345,14768885.28501135,10637417.195277542,6505949.1055437345,14768885.28501135,8262936.179467615,4.876993718376809,2.9828173829547873,6.771170053798831,3.7883526708440436,-29432408.70115534,-44039354.21368837,-14825463.1886223,0.6191331851704471,3.861896983871619e-05,True,+,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,1,2048,10615780.15983319,6479357.958270532,14752202.361395847,10615780.15983319,6479357.958270532,14752202.361395847,8272844.403125315,4.812740145664977,2.937463445399047,6.688016845930907,3.7505534005318597,-29346983.14652065,-43971444.08939837,-14722522.20364293,0.6176065674910679,4.007705395681897e-05,True,+,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Simsteps Inlet,latency-simsteps-inlet,1,2048,5.747055317811438,3.517903009066633,7.976207626556244,5.747055317811438,3.517903009066633,7.976207626556244,4.4583046174896115,4.497521772975224,2.7530351638441206,6.242008382106328,3.4889732182622075,-16.04482457348297,-23.926068142538472,-8.163581004427467,0.6197561453825671,3.803777456291937e-05,True,+,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,1,2048,5.800708879453227,3.551553546294233,8.04986421261222,5.800708879453227,3.551553546294233,8.04986421261222,4.4983106663179875,4.394666889166805,2.6906874830914473,6.098646295242164,3.4079588121507163,-16.17368511593883,-24.125650056031898,-8.221720175845764,0.6199254137335919,3.7881215692395055e-05,True,+,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,1,2048,0.002943160272866544,0.0026403953416693003,0.0032459252040637873,0.002943160272866544,0.0026403953416693003,0.0032459252040637873,0.000605529862394487,-25.110269114901456,-22.527158378117555,-27.69337985168536,-5.166221473567806,-0.008938136784949632,-0.01000857246472488,-0.007867701105174384,0.9586298684503457,6.709637031459367e-14,True,+,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Delivery Clumpiness,delivery-clumpiness,1,2048,-0.024554940989521185,-0.05213737493124205,0.00302749295219968,-0.024554940989521185,-0.05213737493124205,0.00302749295219968,0.05516486788344173,-0.06527357001535009,-0.13859502225818005,0.008047882227479878,0.14664290448565992,0.4153654809377088,0.31784685052860473,0.5128841113468129,0.16271678987045501,0.07779131402131141,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Simstep Period Inlet (ns),simstep-period-inlet-ns,1,2048,-72153.03809110099,-83214.3548473164,-61091.72133488558,-72153.03809110099,-83214.3548473164,-61091.72133488558,22122.633512430817,-0.04216688725338754,-0.0486312206878915,-0.035702553818883584,0.012928666869007913,2291102.8420677213,2251995.18163186,2330210.5025035827,0.9125400952512307,5.785896520149147e-11,True,-,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
