IndependentVariable,DependentVariable,DependentVariableSlug,CpusPerNode,NumSimelsPerCpu,SlopeEstimate,SlopeEstimate95CILowerBound,SlopeEstimate95CIUpperBound,AbsoluteEffectSize,AbsoluteEffectSize95CILowerBound,AbsoluteEffectSize95CIUpperBound,AbsoluteEffectSize95CIWidth,RelativeEffectSize,RelativeEffectSize95CILowerBound,RelativeEffectSize95CIUpperBound,RelativeEffectSize95CIWidth,InterceptEstimate,InterceptEstimate95CILowerBound,InterceptEstimate95CIUpperBound,R2,p,Significant,SignificantEffectSign,n,Filter,NumProcesses,NumProcessesPrettyprint,RegressionModel,RegressionModelSlug,Statistic
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,4,1,-1'400,-23'000,20'000,-1'400,-23'000,20'000,43'000,-0.003,-0.05,0.044,0.095,440'000,370'000,510'000,nan,0.9,False,0,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,4,1,-3'400,-26'000,19'000,-3'400,-26'000,19'000,44'000,-0.0074,-0.056,0.041,0.096,450'000,380'000,510'000,nan,0.75,False,0,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Simsteps Inlet,latency-simsteps-inlet,4,1,-0.42,-0.72,-0.12,-0.42,-0.72,-0.12,0.6,-0.063,-0.11,-0.018,0.089,7.3,6.4,8.3,nan,0.0074,True,-,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,4,1,-0.47,-0.76,-0.18,-0.47,-0.76,-0.18,0.58,-0.068,-0.11,-0.026,0.085,7.5,6.5,8.4,nan,0.0027,True,-,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,4,1,0.019,0.0076,0.029,0.019,0.0076,0.029,0.022,0.34,0.14,0.54,0.4,0.02,-0.014,0.054,nan,0.0016,True,+,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Delivery Clumpiness,delivery-clumpiness,4,1,-0.024,-0.035,-0.014,-0.024,-0.035,-0.014,0.021,-0.036,-0.052,-0.021,0.031,0.71,0.68,0.74,nan,5.5e-05,True,-,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Simstep Period Inlet (ns),simstep-period-inlet-ns,4,1,2'000,-470,4'400,2'000,-470,4'400,4'900,0.03,-0.0072,0.067,0.074,63'000,56'000,71'000,nan,0.11,False,0,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Simstep Period Outlet (ns),simstep-period-outlet-ns,4,1,1'700,-460,3'800,1'700,-460,3'800,4'300,0.026,-0.0071,0.059,0.066,64'000,57'000,70'000,nan,0.12,False,0,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,4,2048,200'000,25'000,380'000,200'000,25'000,380'000,360'000,0.11,0.014,0.21,0.19,1.6e+06,1.1e+06,2.2e+06,nan,0.027,True,+,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,4,2048,200'000,13'000,380'000,200'000,13'000,380'000,370'000,0.11,0.0073,0.21,0.2,1.7e+06,1.1e+06,2.2e+06,nan,0.036,True,+,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,quantile-regression,median
